date,source,category,avg_price_cny,min_price_cny,max_price_cny,sample_count
2026-06-01,zol,DDR4,374,105,1079,13
2026-06-01,zol,DDR5,821,299,2059,31
2026-06-02,zol,DDR4,374,105,1079,13
2026-06-02,zol,DDR5,833,299,2059,31
2026-06-03,zol,DDR4,392,105,1079,12
2026-06-03,zol,DDR5,839,299,2059,32
2026-06-04,zol,DDR4,392,105,1079,12
2026-06-04,zol,DDR5,822,299,2059,31
2026-06-06,zol,DDR4,374,105,1079,13
2026-06-06,zol,DDR5,820,299,2059,30
2026-06-08,zol,DDR4,396,145,1079,12
2026-06-08,zol,DDR5,817,299,2059,32
2026-06-09,zol,DDR4,396,145,1079,12
2026-06-09,zol,DDR5,831,299,2059,31
2026-06-12,zol,DDR4,443,145,1079,11
2026-06-12,zol,DDR5,804,299,2059,33
2026-06-14,zol,DDR4,443,145,1079,11
2026-06-14,zol,DDR5,804,299,2059,33
2026-06-17,zol,DDR4,443,145,1079,11
2026-06-17,zol,DDR5,763,149,2059,34
2026-06-18,zol,DDR4,419,145,1079,12
2026-06-18,zol,DDR5,744,149,2059,33
2026-06-22,zol,DDR4,404,145,1079,11
2026-06-22,zol,DDR5,749,149,2059,32
2026-06-25,zol,DDR4,384,145,1079,12
2026-06-25,zol,DDR5,760,149,2059,32
2026-06-26,zol,DDR4,397,145,1079,11
2026-06-26,zol,DDR5,736,149,2059,32
2026-06-27,zol,DDR4,397,145,1079,11
2026-06-27,zol,DDR5,747,149,2059,33
2026-07-02,zol,DDR4,409,145,1079,12
2026-07-02,zol,DDR5,938,149,7499,33
2026-07-03,zol,DDR4,408,145,1079,11
2026-07-03,zol,DDR5,952,149,7499,33
2026-07-07,zol,DDR4,396,145,1079,13
2026-07-07,zol,DDR5,985,149,7499,31
2026-07-10,zol,DDR4,409,145,1079,12
2026-07-10,zol,DDR5,1023,149,7499,32
2026-07-11,zol,DDR4,427,145,1079,13
2026-07-11,zol,DDR5,1023,149,7499,32
2026-07-12,zol,DDR4,417,145,1079,12
2026-07-12,zol,DDR5,1022,149,7499,33
2026-07-13,zol,DDR4,417,145,1079,12
2026-07-13,zol,DDR5,1022,149,7499,33
2026-07-17,zol,DDR4,417,145,1079,12
2026-07-17,zol,DDR5,787,149,2199,31
2026-07-19,zol,DDR4,417,145,1079,12
2026-07-19,zol,DDR5,791,149,2199,31
2026-07-20,zol,DDR4,417,145,1079,12
2026-07-20,zol,DDR5,791,149,2199,31
2026-07-21,zol,DDR4,425,145,1079,11
2026-07-21,zol,DDR5,805,259,2199,32
2026-07-22,zol,DDR4,425,145,1079,11
2026-07-22,zol,DDR5,805,259,2199,32
2026-07-27,zol,DDR4,432,145,1079,13
2026-07-27,zol,DDR5,823,259,2199,32
2026-07-28,zol,DDR4,425,145,1079,11
2026-07-28,zol,DDR5,820,259,2199,33
2026-07-29,zol,DDR4,425,145,1079,11
2026-07-29,zol,DDR5,840,259,2199,33
2026-07-30,zol,DDR4,425,145,1079,11
2026-07-30,zol,DDR5,805,259,2199,33
2026-07-31,zol,DDR4,436,145,1079,12
2026-07-31,zol,DDR5,813,259,2199,32
2026-08-02,zol,DDR4,462,145,1079,11
2026-08-02,zol,DDR5,805,259,2199,33
2026-08-03,zol,DDR4,462,145,1079,11
2026-08-03,zol,DDR5,805,259,2199,33
2026-08-04,zol,DDR4,462,145,1079,11
2026-08-04,zol,DDR5,805,259,2199,33
2026-08-06,zol,DDR4,452,145,1079,10
2026-08-06,zol,DDR5,776,259,2199,34
2026-08-09,zol,DDR4,452,145,1079,10
2026-08-09,zol,DDR5,792,259,2199,34
2026-08-10,zol,DDR4,452,145,1079,10
2026-08-10,zol,DDR5,792,259,2199,34
2026-08-11,zol,DDR4,452,145,1079,10
2026-08-11,zol,DDR5,792,259,2199,34
2026-08-13,zol,DDR4,443,145,1079,11
2026-08-13,zol,DDR5,776,259,2199,35
2026-08-14,zol,DDR4,443,145,1079,11
2026-08-14,zol,DDR5,776,259,2199,35
2026-08-15,zol,DDR4,443,145,1079,11
2026-08-15,zol,DDR5,785,259,2199,36
